acoustic	acoustic
ambient	ambient
dark_ambient/noise	ambient
ambient_drum_n'_bass	ambient
mood_music	ambient
new_age	ambient
beats	beats
big_beat	big_beat
bluegrass	bluegrass
new_grass	bluegrass
jump_blues	blues
rhythm_&_blues	blues
blues_vocals	blues
general_blues	blues
acoustic_blues	blues
electric_blues	blues
country_blues	blues
christian_blues	blues
blues_rock	blues
spiritual_blues	blues
blues_cover_songs	blues
breakbeat/breaks	breakbeat/breaks
spiritual_children's	children
general_children's_music	children
children's_cover_songs	children
classical_general	classical
experimental_classical	classical
choral	classical
chamber_music	classical
baroque	classical
medieval	classical
renaissance	classical
symphonic	classical
opera	classical
vocal	classical
ensemble	classical
piano	classical
guitar	classical
solo_instruments	classical
woodwinds	classical
strings	classical
club	club
alternative_country	country
country_general	country
christian_country	country
new_country	country
spiritual_country	country
traditional_country	country
country_cover_songs	country
dance	dance
euro_dance	dance
hard_dance	dance
dirty_south	dirty_south
down_tempo	down_tempo
drum_n'_bass	drum_n'_bass
spiritual_easy_listening	easy_listening
christian_easy_listening	easy_listening
easy_listening_cover_songs	easy_listening
electronica	electronic
symphonic_electronica	electronic
electronic_classical	electronic
progressive_electronica	electronic
electronic_cover_songs	electronic
electronic	electronic
minimal	experimental
minimalist	experimental
experimental	experimental
noise	experimental
abstract	experimental
film_music	film_music
folk	folk
freestyles	freestyles
funk	funk
funky_breaks	funk
groove	funk
game_soundtracks	game_soundtracks
goa	goa
gospel	gospel
spiritual	gospel
goth_rock	goth
darkwave	goth
emo	goth
goth	goth
hip_hop	hip_hop
alternative_hip_hop	hip_hop
hip_hop_cover_songs	hip_hop
trip_hop	hip_hop
west_coast	hip_hop
east_coast	hip_hop
house	house
hard_house	house
deep_house	house
latin_house	house
vocal_house	house
filtered/disco_house	house
schoolhouse	house
progressive_house	house
industrial	industrial
industrial_electronic	industrial
general_jazz	jazz
jazz_vocals	jazz
acid_jazz	jazz
jazz_fusion	jazz
smooth_jazz	jazz
latin_jazz	jazz
traditional_jazz	jazz
world_fusion	jazz
soul	jazz
detroit	jazz
bebop	jazz
mod	jazz
leftfield	leftfield
power_metal	metal
heavy_metal	metal
progressive_metal	metal
death_metal	metal
alternative_metal	metal
black_metal	metal
thrash/speed_metal	metal
industrial_metal	metal
metalcore	metal
gothic_metal	metal
christian_metal	metal
doom/stoner_metal	metal
instrumental_metal	metal
spiritual_metal	metal
nu-metal	metal
metal_cover_songs	metal
metal	metal
grindcore	metal
horrorcore	metal
post_hardcore	metal
happy_hardcore	metal
new_wave	new_wave
soft_rock	oldies
adult_contemporary	oldies
swing/big_band	oldies
love_songs	oldies
lounge	oldies
aaa/adult_alternative	oldies
oldies	oldies
standards	oldies
crooners/vocals	oldies
romantic	oldies
rockabilly	oldies
rock-n-roll_oldies	oldies
pop	pop
power_pop	pop
christian_pop	pop
pop_vocals	pop
indie_pop/lo_fi	pop
pop/balada	pop
europop	pop
brit_pop	pop
spiritual_pop	pop
j-pop	pop
pop_and_rock_cover_songs	pop
pop_&_rock	pop
contemporary_urban	pop
contemporary	pop
crossover	pop
alternative_cover_songs	pop
punk	punk
hardcore_punk	punk
folk_punk	punk
skate_punk	punk
pop_punk	punk
surf_punk	punk
rap	rap
spiritual_rap	rap
rapcore	rap
christian_rap	rap
hardcore_rap	rap
hip_hop/rap	rap
new_school	rap
old_school	rap
reggae	reggae
dancehall_reggae	reggae
roots_reggae	reggae
dub_reggae	reggae
rock	rock
industrial_rock	rock
guitar_rock	rock
instrumental_rock	rock
experimental/post_rock	rock
folk_rock	rock
progressive_rock	rock
christian_rock	rock
surf_rock	rock
spiritual_rock	rock
rock_en_espanol	rock
classic_rock	rock
southern_rock	rock
indie	rock
alternative_general	rock
grunge	rock
psychedelic	rock
acid	rock
ska	rock
garage	rock
glam	rock
humor	spoken_word
self-help	spoken_word
stories_and_myths	spoken_word
audio_books	spoken_word
parodies	spoken_word
general_comedy	spoken_word
political_humor	spoken_word
interviews	spoken_word
satire	spoken_word
poetry	spoken_word
spoken_word	spoken_word
politics	spoken_word
speak_your_mind	spoken_word
paranormal	spoken_word
aliens	spoken_word
bodily_functions	spoken_word
shout_outs	spoken_word
witchcraft	spoken_word
horror_stories	spoken_word
commercials	spoken_word
mental_health	spoken_word
spoofs	spoken_word
recorded_greetings	spoken_word
lies	spoken_word
movies	spoken_word
opinions	spoken_word
education	spoken_word
emergency!	spoken_word
nonfiction	spoken_word
hypnosis	spoken_word
advice	spoken_word
radio	spoken_word
time_capsule_recordings	spoken_word
dumb_stories	spoken_word
love	spoken_word
tech_step	tech_step
techno	techno
intelligent_techno	techno
technology	techno
progressive_trance	trance
hard_trance	trance
trance	trance
melodic_trance	trance
psytrance	trance
world/folk_cover_songs	world
general_latin	world
asian	world
americana	world
world_traditions	world
celtic	world
native_american	world
tribal	world
salsa	world
caribbean	world
african	world
brazilian	world
russian	world
indian	world
jewish/israeli	world
french	world
nouveau_flamenco	world
cuban	world
arabic	world
merengue	world
tropical	world
scandinavian	world
bossa_nova	world
european	world
south/central_american	world
traditional	world
quebecois	world
jungle	world
